,person,event,label,Bom,timestamp,mean_conversion,vistas mayor a 2
221,031e80e3,2.0,0,3.0,,0.0,False
222,031ee7cc,1.0,0,14.0,,0.0,True
223,031fcae5,4.142857142857143,0,65.0,,0.0,True
224,0321ecd6,2.25,0,20.0,,0.0,True
225,0328af6d,2.0,0,2.0,,0.0,True
226,032a13f5,3.0,0,14.0,2.0,0.3333333333333333,True
227,032eb0b8,1.0,0,25.0,,0.0,True
228,032fb2c8,1.0,0,2.0,,0.0,False
229,0330b185,1.5,0,36.0,,0.0,True
230,0332afbe,3.0,0,6.0,,0.0,False
231,0341c285,2.0,0,0.0,,0.0,True
232,0341e2a2,2.5,0,4.0,,0.0,True
233,03421604,2.0,0,5.0,,0.0,True
234,03490d00,1.0,0,0.0,,0.0,True
235,034aee83,1.0,0,5.0,,0.0,True
236,034ec132,2.0,0,0.0,,0.0,True
237,0352d9b3,1.3333333333333333,0,4.0,,0.0,True
238,0353af22,3.8571428571428568,0,45.0,1.0,0.16666666666666666,True
239,0357a791,1.0,0,3.0,,0.0,True
240,035ff4f3,1.75,0,18.0,,0.0,True
241,03630617,1.5,0,5.0,,0.0,False
242,03631044,1.0,0,3.0,,0.0,True
243,03654863,2.0,0,4.0,,0.0,True
244,036647bb,1.5,0,10.0,,0.0,True
245,0366a065,1.0,0,0.0,,0.0,True
246,0368b777,1.0,0,0.0,1.0,0.16666666666666666,True
247,036cdf5a,1.25,0,1.0,,0.0,True
248,036d3644,2.0,0,22.0,,0.0,True
249,03754d73,1.75,1,1.0,,0.0,False
250,03759a7b,1.0,0,0.0,,0.0,False
251,0378916d,1.0,0,0.0,,0.0,False
252,037b36f8,1.5,0,2.0,,0.0,True
253,037bf2d2,2.0,0,3.0,,0.0,True
254,037c8a2b,1.0,0,0.0,,0.0,True
255,03836d05,1.0,0,12.0,,0.0,True
256,03841432,1.75,0,8.0,1.0,0.16666666666666666,True
257,038d2328,2.0,0,18.0,,0.0,True
258,0391da64,1.0,0,3.0,,0.0,False
259,0393253c,2.0,0,5.0,,0.0,False
260,03978515,1.25,0,7.0,,0.0,True
261,03a07318,1.0,0,0.0,,0.0,False
262,03a11e22,2.0,0,128.0,,0.0,True
263,03a5acfb,1.0,0,5.0,,0.0,True
264,03a67237,1.0,0,3.0,,0.0,False
265,03a67b1c,1.0,0,8.0,,0.0,True
266,03a7662e,1.0,0,0.0,,0.0,True
267,03ae7227,1.0,0,0.0,,0.0,False
268,03af5596,1.0,0,1.0,,0.0,False
269,03b30b1a,1.0,0,0.0,,0.0,False
270,03b3aa5c,2.0,0,7.0,,0.0,True
271,03b7f5bb,1.5,0,7.0,1.0,0.16666666666666666,True
272,03b7f931,1.0,0,7.0,,0.0,True
273,03bcd854,1.0,0,0.0,,0.0,False
274,03bd1506,1.0,0,1.0,,0.0,False
275,03bfba07,2.571428571428572,0,25.0,2.0,0.3333333333333333,True
276,03c2b5c1,4.0,0,90.0,3.0,0.5,True
277,03c2b649,4.0,0,10.0,,0.0,True
278,03c2bb80,1.0,0,28.0,,0.0,True
279,03c58152,1.0,0,2.0,,0.0,False
280,03c5f42d,1.0,0,0.0,,0.0,False
281,03c6c909,1.0,0,0.0,,0.0,False
282,03c81048,1.0,0,3.0,,0.0,False
283,03c815a4,1.0,0,3.0,,0.0,True
284,03c99f07,2.5,1,6.0,,0.0,True
285,03cc74c0,1.0,0,2.0,,0.0,False
286,03cfb24d,5.75,0,53.0,,0.0,True
287,03d1dc12,1.0,0,2.0,,0.0,False
288,03d2422e,1.0,0,4.0,,0.0,True
289,03d85b53,2.0,0,1.0,,0.0,True
290,03da112f,1.0,0,10.0,,0.0,True
291,03db7c49,2.0,1,0.0,3.0,0.5,False
292,03dc6595,1.0,0,13.0,,0.0,True
293,03dde3a4,1.0,0,2.0,,0.0,False
294,03de79e8,1.0,0,0.0,,0.0,True
295,03dec268,1.0,0,0.0,,0.0,False
296,03e36bd0,1.0,0,0.0,,0.0,False
297,03e5b74b,1.0,0,3.0,,0.0,False
298,03e61256,1.0,0,5.0,,0.0,True
299,03e69cc8,1.0,0,1.0,,0.0,False
300,03e9630c,1.0,0,5.0,,0.0,False
301,03ea1c12,2.0,0,20.0,,0.0,True
302,03edc574,1.0,0,3.0,,0.0,False
303,03edef0c,1.0,0,0.0,,0.0,False
304,03f124c5,1.0,0,20.0,,0.0,True
305,03f4ffdf,1.0,0,1.0,,0.0,True
306,03f589a0,1.0,0,0.0,,0.0,False
307,03f60e32,2.333333333333333,0,38.0,,0.0,True
308,03f7983d,1.0,0,0.0,,0.0,False
309,03f9455b,1.0,0,0.0,,0.0,True
310,03f9eb63,1.0,0,11.0,,0.0,True
311,04026e6d,2.0,0,8.0,,0.0,True
312,04034ae8,1.0,0,10.0,,0.0,True
313,0403b65b,1.0,0,0.0,,0.0,True
314,0404e68f,3.0,1,38.0,,0.0,True
315,0406c39e,1.0,0,0.0,,0.0,False
316,04135452,1.0,0,10.0,,0.0,True
317,0414bc4c,1.0,0,0.0,,0.0,True
318,041627fe,5.333333333333333,0,77.0,,0.0,True
319,0417a96d,1.0,0,0.0,,0.0,False
320,041a0301,1.0,0,23.0,,0.0,True
321,041dc456,1.0,1,0.0,,0.0,True
322,042bd446,1.5,0,6.0,,0.0,True
323,042e28ac,1.5,0,22.0,,0.0,True
324,042e3717,1.0,0,4.0,,0.0,True
325,0432dba1,1.6666666666666667,0,1.0,,0.0,True
326,04392952,8.0,0,41.0,3.0,0.5,True
327,043a4def,1.0,0,1.0,,0.0,True
328,043bbb8c,4.0,0,44.0,5.0,0.8333333333333334,True
329,043da730,1.0,0,0.0,,0.0,False
330,043ec736,7.857142857142858,1,164.0,1.0,0.16666666666666666,True
331,044009fe,2.6666666666666665,0,13.0,,0.0,True
332,0446080d,2.5,0,23.0,,0.0,True
333,04462fcd,1.2,0,12.0,,0.0,True
334,0448e78c,1.0,0,5.0,,0.0,True
335,044bbf67,3.0,0,19.0,,0.0,True
336,044c7b95,1.0,0,10.0,,0.0,True
337,045524b6,1.0,0,4.0,,0.0,False
338,0457712f,2.8,1,22.0,2.0,0.3333333333333333,True
339,045fb3f8,1.0,0,2.0,,0.0,False
340,046642cb,2.0,0,0.0,,0.0,True
341,046d3ba1,1.0,0,3.0,2.0,0.3333333333333333,True
342,046efad8,1.0,0,12.0,,0.0,True
343,046f8ccb,1.0,0,2.0,,0.0,False
344,04704db7,1.5,0,3.0,,0.0,True
345,04706d48,1.3333333333333333,0,2.0,,0.0,True
346,04708f23,1.8,0,62.0,,0.0,True
347,047286c8,1.0,0,12.0,,0.0,True
348,0478a958,1.0,0,0.0,,0.0,False
349,047bf4c8,2.6,0,9.0,,0.0,True
350,047c5000,1.0,0,5.0,,0.0,True
351,047ecdfe,1.0,0,0.0,,0.0,False
352,04868458,1.0,0,2.0,,0.0,False
353,04877609,4.333333333333333,0,33.0,6.0,1.0,True
354,048a9272,1.0,0,1.0,,0.0,True
355,048b2bed,1.0,0,2.0,,0.0,False
356,048c1643,1.0,0,6.0,,0.0,True
357,04923a0b,1.0,0,3.0,,0.0,False
358,049392e4,1.0,0,8.0,,0.0,False
359,04993f2b,1.0,0,0.0,,0.0,False
360,049a9e4a,2.8,0,35.0,,0.0,True
361,049b4dfb,2.0,0,16.0,,0.0,True
362,049c64d6,2.0,0,1.0,2.0,0.3333333333333333,True
363,049da6d9,1.0,0,0.0,,0.0,True
364,049eb8ac,1.0,0,3.0,1.0,0.16666666666666666,True
365,04a15614,1.0,0,6.0,,0.0,True
366,04a68895,1.0,0,9.0,,0.0,True
367,04a89fe5,1.0,0,0.0,,0.0,False
368,04ae2dfe,1.0,0,0.0,,0.0,False
369,04afcae5,1.0,0,2.0,,0.0,True
370,04b69fde,1.0,0,6.0,,0.0,True
371,04b93ba0,3.75,0,17.0,2.0,0.3333333333333333,True
372,04b93eba,2.0,0,5.0,,0.0,False
373,04bbc907,6.7142857142857135,1,72.0,,0.0,True
374,04c39d24,1.4,0,15.0,,0.0,True
375,04c9c1ed,1.0,0,0.0,,0.0,False
376,04ccd264,1.0,0,3.0,,0.0,False
377,04cfa3c4,1.0,0,6.0,,0.0,True
378,04cfe908,3.0,0,12.0,,0.0,True
379,04d23d88,1.0,0,8.0,,0.0,True
380,04d2d0ee,2.0,1,4.0,,0.0,True
381,04d31d7a,1.0,0,0.0,,0.0,True
382,04dfc05f,4.0,0,1.0,,0.0,True
383,04e48a72,1.0,0,3.0,,0.0,False
384,04e7e01f,2.0,0,27.0,,0.0,True
385,04ee8093,1.5,0,11.0,,0.0,True
386,04f00b27,2.0,0,6.0,,0.0,True
387,04fcfce0,2.333333333333333,0,7.0,,0.0,True
388,0507e49a,1.0,0,2.0,,0.0,False
389,0509bcf4,1.0,0,10.0,,0.0,False
390,050bb676,1.0,0,0.0,,0.0,True
391,050c6066,1.0,0,2.0,,0.0,False
392,050deaa3,1.0,0,7.0,,0.0,True
393,050f1a22,2.1666666666666665,0,53.0,1.0,0.16666666666666666,True
394,051509f1,1.0,0,4.0,,0.0,True
395,0515aca9,3.6666666666666665,0,70.0,,0.0,True
396,0517f1f4,1.5,0,5.0,,0.0,True
397,0518b8f2,2.0,0,16.0,,0.0,True
398,051bee61,2.0,0,2.0,,0.0,True
399,052078d1,2.0,1,16.0,,0.0,True
400,052163a1,7.0,0,5.0,1.0,0.16666666666666666,True
401,052231b9,2.0,0,3.0,,0.0,False
402,05288788,1.0,0,3.0,,0.0,False
403,052e394d,2.0,0,16.0,,0.0,True
404,05313660,1.0,0,5.0,,0.0,True
405,05349582,2.0,0,3.0,2.0,0.3333333333333333,True
406,053ca79c,4.0,0,41.0,,0.0,True
407,05458471,1.5,0,5.0,,0.0,False
408,05473316,1.5,0,1.0,,0.0,True
409,05477b14,1.0,0,0.0,,0.0,True
410,054885ca,1.75,0,13.0,,0.0,True
411,0548aae1,1.0,0,0.0,,0.0,True
412,054b1dd6,2.0,0,6.0,,0.0,True
413,054b4d4b,1.0,0,2.0,,0.0,True
414,054e8d43,2.5,0,16.0,,0.0,True
415,0552b617,3.333333333333333,0,86.0,,0.0,True
416,05566ef0,1.0,0,1.0,,0.0,True
417,05596145,2.0,1,39.0,,0.0,True
418,0566e256,1.0,0,4.0,,0.0,False
419,0566e9c1,2.4285714285714284,0,16.0,1.0,0.16666666666666666,True
420,056bde30,2.0,0,0.0,,0.0,True
421,056e7674,2.0,0,15.0,,0.0,True
422,0577c4e4,2.0,0,5.0,,0.0,True
423,057a408e,1.0,0,6.0,,0.0,True
424,057b8da0,1.0,0,4.0,,0.0,True
425,057baac6,1.0,0,0.0,,0.0,True
426,0582076c,3.571428571428572,0,32.0,,0.0,True
427,058c45b3,2.0,0,15.0,,0.0,True
428,058e5305,1.0,0,1.0,,0.0,False
429,05901e74,1.0,0,0.0,,0.0,True
430,05947543,1.0,0,2.0,,0.0,False
431,0594ae6a,2.5,0,7.0,,0.0,True
432,059f4e3c,1.0,0,1.0,,0.0,False
433,05a5137c,1.0,0,9.0,,0.0,True
434,05a82598,2.0,0,2.0,,0.0,True
435,05ac0937,1.3333333333333333,0,25.0,1.0,0.16666666666666666,True
436,05ad382c,1.0,0,13.0,,0.0,True
437,05b22e4c,1.75,1,31.0,,0.0,True
438,05b7d297,1.0,0,2.0,,0.0,False
439,05b83408,1.3333333333333333,0,14.0,,0.0,True
440,05bd7ac9,1.0,0,2.0,,0.0,False
441,05bdae94,1.0,0,1.0,,0.0,False
442,05bf14be,2.0,0,14.0,,0.0,True
443,05cdf42f,1.0,0,2.0,,0.0,False
444,05d3c1a1,1.0,0,24.0,,0.0,True
445,05d6426e,2.0,0,13.0,,0.0,True
446,05d9ceb0,1.5,1,18.0,2.0,0.3333333333333333,True
447,05e135bf,1.5,0,0.0,1.0,0.16666666666666666,False
448,05e298fd,1.0,0,2.0,,0.0,False
449,05e2dc41,1.0,0,4.0,,0.0,True
450,05e62dde,2.0,0,10.0,,0.0,True
451,05ede960,1.0,0,3.0,,0.0,True
452,05f5d7e6,1.6666666666666667,0,48.0,,0.0,True
453,05f64854,1.0,0,0.0,,0.0,False
454,05fb7314,2.2,0,31.0,,0.0,True
455,060080bd,1.0,0,9.0,,0.0,True
456,06010f51,1.3333333333333333,0,22.0,,0.0,True
457,0601784e,2.0,1,48.0,2.0,0.3333333333333333,True
458,06036e3c,1.0,0,0.0,,0.0,True
459,06077235,1.0,0,2.0,,0.0,False
460,060cd447,2.25,0,20.0,1.0,0.16666666666666666,True
461,060f1915,2.0,0,24.0,,0.0,True
462,0616a3c7,2.0,0,53.0,,0.0,True
463,0616d0f3,2.333333333333333,0,51.0,,0.0,True
464,061dfed7,1.0,0,1.0,,0.0,True
465,062591e3,1.0,0,4.0,1.0,0.16666666666666666,False
466,06260f15,1.3333333333333333,0,3.0,,0.0,True
467,062653c2,1.0,0,1.0,,0.0,False
468,062814c7,1.0,0,0.0,,0.0,False
469,06286d66,1.0,0,0.0,,0.0,False
470,062f6d02,2.0,0,8.0,,0.0,True
471,063af87d,1.0,0,2.0,,0.0,False
472,063c2027,1.0,0,2.0,,0.0,False
473,06426e62,1.0,0,2.0,,0.0,False
474,06499837,1.0,0,2.0,,0.0,True
475,064c6841,1.0,0,0.0,,0.0,False
476,064e0d21,1.0,0,1.0,,0.0,False
477,064e923d,2.0,0,5.0,,0.0,True
478,065a50b6,2.333333333333333,0,16.0,,0.0,True
479,065d92a9,1.0,0,2.0,,0.0,False
480,065f4a95,4.0,0,45.0,2.0,0.3333333333333333,True
481,065f9118,2.0,0,5.0,,0.0,True
482,06627564,1.0,0,1.0,,0.0,False
483,066b16ab,1.0,0,2.0,,0.0,False
484,066cc592,1.0,0,2.0,,0.0,True
485,066e3023,2.0,0,2.0,,0.0,False
486,0673c72a,1.6,0,14.0,,0.0,True
487,067925f5,3.571428571428572,0,114.0,,0.0,True
488,067d0506,1.0,0,2.0,,0.0,True
489,06817d0c,1.0,0,8.0,,0.0,True
490,068273dc,1.5,0,5.0,,0.0,True
491,06848016,7.166666666666668,0,58.0,1.0,0.16666666666666666,True
492,068925fa,1.0,0,1.0,,0.0,True
493,06892aa4,1.0,0,10.0,,0.0,True
494,0689e931,1.0,0,3.0,,0.0,False
495,068c6888,1.2,0,39.0,,0.0,True
496,068f771c,2.0,0,5.0,1.0,0.16666666666666666,True
497,06904f81,2.0,0,12.0,,0.0,True
498,0694a7e5,1.0,0,2.0,,0.0,False
499,0696724e,1.5,0,35.0,,0.0,True
500,06989c88,5.0,0,109.0,,0.0,True
501,0699cd95,1.5,0,5.0,,0.0,True
502,069af641,1.0,0,4.0,2.0,0.3333333333333333,True
503,069c5926,10.285714285714286,0,184.0,4.0,0.6666666666666666,True
504,069cff7b,3.0,0,11.0,,0.0,True
505,069dc6e8,1.0,0,7.0,,0.0,True
506,069e9241,1.0,0,1.0,,0.0,True
507,06a557be,4.0,0,33.0,,0.0,True
508,06accde0,1.0,0,2.0,,0.0,False
509,06aed509,1.0,0,3.0,,0.0,True
510,06aeda65,1.0,1,3.0,,0.0,False
511,06b00a11,1.0,0,3.0,,0.0,False
512,06b31ab4,1.0,0,0.0,,0.0,False
513,06be1d9b,1.0,0,0.0,,0.0,False
514,06c1e159,1.0,0,13.0,1.0,0.16666666666666666,True
515,06c4d812,1.0,0,0.0,,0.0,False
516,06c5a2ff,1.0,0,4.0,,0.0,False
517,06c929c1,1.5,0,9.0,,0.0,True
518,06cd617a,1.0,0,3.0,,0.0,False
519,06cea49d,1.2,0,25.0,,0.0,True
520,06d1d6c5,1.0,0,7.0,,0.0,True
521,06d1dcaa,2.0,0,6.0,,0.0,True
522,06d3a74d,3.1428571428571432,0,44.0,11.0,1.8333333333333333,True
523,06d54c8f,1.5,0,14.0,,0.0,True
524,06db4ca8,1.0,0,4.0,,0.0,True
525,06dcde6c,1.0,0,2.0,,0.0,False
526,06df0741,2.333333333333333,0,10.0,,0.0,True
527,06e43b24,1.0,0,5.0,,0.0,True
528,06eeb3e7,1.8,1,20.0,2.0,0.3333333333333333,True
529,06ef2afb,1.0,0,1.0,,0.0,True
530,06f39a3e,2.0,0,4.0,,0.0,True
531,06f65cf4,1.0,0,1.0,,0.0,False
